ID;Titel;Datum;Text;Bilddateityp
1;"Start des Sportprogramms im Wintersemester 2025";11.09.2025;"Liebe Sportler und Sportlerinnen, bald ist es wieder soweit, das neue Semester beginnt und somit auch unser Winterkurs ? Programm. Ab dem 15.09.2025 sind die Anmeldungen für die Kurse freigeschalten. Wie gewohnt findet Ihr auf den Webseiten des Hochschulsportes, unter den einzelnen Rubriken, die Kurse, sowie den dazugehörigen Anmeldelink. Die Kurse selbst starten ab dem 06. Oktober, die Benutzung der Gyms und des Tischtennisraumes beginnt ab dem 01.10.2025.";"jpg"
2;"Rückblick: Infotag kompakt an der Hochschule Merseburg";10.09.2025;"Wer noch kurz vor Semesterbeginn die Weichen für seine Zukunft stellen möchte, hatte am Dienstag, 9. September 2025, die Gelegenheit dazu. Beim Infotag kompakt der Hochschule Merseburg konnten sich Studieninteressierte an Beratungsständen und durch Impulsvorträge über das Studienangebot informieren, ihre Fragen zur Bewerbung und Zulassung loswerden und Einblicke ins Campusleben gewinnen. Also: Jetzt sich noch über das Studienangebot informieren und einen Studienplatz sichern!";"webp"
3;"Willkommen zum Wintersemester";10.09.2025;"Am 2. Oktober findet der Ersti-Tag des Fachbereichs Ingenieur- und Naturwissenschaften statt: Fachbereichsleitung, studentische Vertretungen und Initiativen, Studienfachberater und Mentor:innen geben alle wichtigen Informationen und Hinweise, damit der Start ins Studium gut gelingt. Allgemeine und organisatorische Aspekte zu Beginn des Wintersemesters an der Hochschule Merseburg finden Sie hier; u.a. Antworten auf diese Fragen: Was ist die HochschulCard und wie bekomme ich sie? Wie organisiere ich mein Studium? Wie erhalte ich mein Deutschlandsemesterticket? Schauen Sie sich auch gern die Angebote der familiengerechten Hochschule und des Hochschulsportes an!";"webp"
4;"Erfolgreich abgeschlossen: Feierliche Verabschiedung der Absolvent*innen des Masterstudiengangs Sexologie";09.09.2025;"Der Weiterbildungs-Masterstudiengang Sexologie, der in Kooperation von der Hochschule Merseburg und dem ISP Institut für Sexualpädagogik und Sexualtherapie Zürich angeboten wird, existiert bereits seit mehr als zehn Jahren und ist im deutschsprachigen Raum einzigartig. Inzwischen hat der körperorientierte sexualwissenschaftliche Studiengang 134 Absolvent*innen hervorgebracht. 3,5 Jahre lang stellten sich die Studierenden der Aufgabe, dass weiterbildende berufsbegleitende Studium mit ihrer beruflichen Tätigkeit und der Familie zu vereinbaren. Nach der erfolgreichen Verteidigung ihrer Masterarbeiten können sie sich nun als Sexualwissenschaftler*innen neue berufliche Perspektiven erschließen. Prof. Dr. Heinz-Jürgen Voß, Studiengangsverantwortlicher und Professor für Sexualwissenschaft und Sexuelle Bildung an der Hochschule Merseburg, machte deutlich: Fragen der Sexualität sind für die persönliche Entwicklung wie auch für die gesellschaftliche Gesundheit von großer Bedeutung. Unsere Absolvent*innen stärken Menschen in ihrem Recht auf Selbstbestimmung und fördern den reflektierten Umgang mit individuellen Bedürfnissen. Sie gestalten so aktiv Prävention und Aufklärung in einer Zeit wachsender Vielfalt sexueller und geschlechtlicher Identitäten. Der Master in Sexologie bietet den Absolvent*innen vielfältige berufliche Perspektiven in der Sexualpädagogik und -beratung. Ein besonderer Fokus liegt dabei auf der Körperorientierung, die integrativ in die Sexualberatung und -pädagogik eingebunden wird. Weitere Informationen finden sich auf den Homepages der kooperierenden Einrichtungen: Institut für Sexualpädagogik und Sexualtherapie (https://isp-zuerich.ch/weiterbildungen/master-of-arts-in-sexologie/) und Hochschule Merseburg (https://www.hs-merseburg.de)";"webp"
5;"Beyond the Horizon: Kunstinstallation über Hanf in Berlin";09.09.2025;"Anlässlich der Ausstellung ""Beyond the Horizon"" in der HB55 Kunstfabrik Berlin kooperiert die Nachwuchsgruppe ""Bio-Rohstoffe"" mit der Künstlerin Mara Sandrock. Ab dem 11. September wird auf ungewöhnliche Art und Weise gezeigt, was in dem Alleskönner Hanf steckt. Mara Sandrock präsentiert in der Ausstellung eine Installation, die sich den unterschiedlichen Erscheinungs- und Verarbeitungsformen von Nutzhanf widmet. Der Umgang mit natürlichen und veränderlichen Materialien steht im Zentrum ihrer künstlerischen Tätigkeit. Teils gelenkt und herbeigeführt, teils unvorhersehbar und schwer zu kontrollieren, bedient sie sich in ihren malerischen und bildhauerischen Prozessen ausschließlich organischer, natürlicher Werkstoffe. Hanf, insbesondere in Form von Fasern, spielt hierbei eine zentrale Rolle. Der Rohstoff verlässt die engen Grenzen seines Nutzpflanzendaseins, hängt von Wänden und Decken herab und verleiht den Räumen eine mystische, hexenhafte Atmosphäre. Die Vielseitigkeit und Nachhaltigkeit des Rohstoffs Hanf ist sowohl Thema der Nachwuchsgruppe ""Bio-Rohstoffe"" als auch zentraler Aspekt in Mara Sandrocks künstlerischem Schaffen. Was läge also näher, als eine Kooperation einzugehen, um die vielfältigen Stärken des Nutzhanfs ins rechte Licht zu rücken? So lieferte die Forschungsgruppe eine Autoladung voller Stopfhanf, gerösteter Hanfstängel und Hanffasern. Was kommt nach den Menschen? Diese Frage stellt die Ausstellung ""Beyond the Horizon"" gleichsam provokativ wie visionär und zeigt insbesondere die Werke von Künstler*innen, die sich organischer und nachhaltiger Materialien bedienen. Hanf, lautet die Antwort der Künstlerin Mara Sandrock und der Nachwuchsgruppe ""Bio-Rohstoffe"". Diese Vision ist vom 11. bis 20. September in der HB55 Kulturfabrik in Berlin zu sehen. Ausstellung ""Beyond the Horizon"" 11. bis 20. September 2025 HB55 Kunstfabrik Herzbergstraße 55, 10365 Berlin Vernissage 11.09.2025, 18:00 - 00:00 Öffnungszeiten 12.09.2025, 12:00 - 20:00, 13.09.2025, 12:00 - 20:00, 14.09.2025, 12:00 - 18:00, 18.09.2025, 14:00 - 20:00, 19.09.2025, 14:00 - 20:00 Finissage 20.09.2025, 12:00 - 20:00";"jpg"
